,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
110,5.245,105.61,BMG CDI + 0.61% por Nova Futura Investimentos,FGC,CDB,10.23% a.a.,16/04/2023,Nova Futura Investimentos,BMG
111,5.245,104.50,BTG Pactual 104.5% CDI por BTG Pactual,FGC,CDB,10.13% a.a.,17/04/2023,BTG Pactual,BTG Pactual
112,5.244,83.00,Rodobens 83% CDI por BTG Pactual,FGC,LCI,10.12% a.a.,17/04/2023,BTG Pactual,Rodobens
113,5.244,83.00,Rodobens 83% CDI por BTG Pactual,FGC,LCA,10.12% a.a.,17/04/2023,BTG Pactual,Rodobens
114,5.244,83.00,Rodobens 83% CDI por Nu invest,FGC,LCA,10.12% a.a.,17/04/2023,Nu invest,Rodobens
115,5.244,83.00,Rodobens 83% CDI por Nu invest,FGC,LCI,10.12% a.a.,17/04/2023,Nu invest,Rodobens
116,5.244,104.25,PAN 104.25% CDI por BTG Pactual,FGC,CDB,10.10% a.a.,17/04/2023,BTG Pactual,PAN
117,5.244,105.00,Paraná Banco 105% CDI por Paraná Banco,FGC,CDB,10.18% a.a.,16/04/2023,Paraná Banco,Paraná Banco
118,5.244,105.00,PagBank 105% CDI por XP Investimentos,FGC,CDB,10.18% a.a.,16/04/2023,XP Investimentos,PagBank
119,5.244,105.00,Daycoval 105% CDI por Daycoval,FGC,CDB,10.18% a.a.,16/04/2023,Daycoval,Daycoval
120,5.244,105.00,Máxima 105% CDI por modalmais,FGC,CDB,10.18% a.a.,16/04/2023,modalmais,Máxima
121,5.244,105.00,Banco Master 105% CDI por Nu invest,FGC,CDB,10.18% a.a.,16/04/2023,Nu invest,Banco Master
122,5.244,105.00,Santana Financeira 105% CDI por Daycoval,FGC,LC,10.18% a.a.,16/04/2023,Daycoval,Santana Financeira
123,5.244,104.00,Omni Banco 104% CDI por Nu invest,FGC,CDB,10.08% a.a.,17/04/2023,Nu invest,Omni Banco
124,5.244,104.00,Ourinvest 104% CDI por BTG Pactual,FGC,CDB,10.08% a.a.,17/04/2023,BTG Pactual,Ourinvest
125,5.244,104.00,RNX 104% CDI por Nu invest,FGC,CDB,10.08% a.a.,17/04/2023,Nu invest,RNX
126,5.244,104.00,Fator 104% CDI por Ágora Investimentos,FGC,CDB,10.08% a.a.,17/04/2023,Ágora Investimentos,Fator
127,5.244,104.00,Mercado Livre 104% CDI por Ágora Investimentos,FGC,CDB,10.08% a.a.,17/04/2023,Ágora Investimentos,Mercado Livre
128,5.244,104.00,Luso Brasileiro 104% CDI por Ágora Investimentos,FGC,CDB,10.08% a.a.,17/04/2023,Ágora Investimentos,Luso Brasileiro
129,5.242,103.50,BTG Pactual 103.5% CDI por BTG Pactual,FGC,CDB,10.03% a.a.,17/04/2023,BTG Pactual,BTG Pactual
130,5.242,103.50,Mercado Livre 103.5% CDI por BTG Pactual,FGC,CDB,10.03% a.a.,17/04/2023,BTG Pactual,Mercado Livre
131,5.242,103.25,BTG Pactual 103.25% CDI por BTG Pactual,FGC,CDB,10.01% a.a.,17/04/2023,BTG Pactual,BTG Pactual
132,5.242,103.25,PAN 103.25% CDI por Ágora Investimentos,FGC,CDB,10.01% a.a.,17/04/2023,Ágora Investimentos,PAN
133,5.242,12.58,Banco Inter Prefixado 12.58% por BTG Pactual,FGC,CDB,10.00% a.a.,17/04/2023,BTG Pactual,Banco Inter
134,5.241,103.00,BTG Pactual 103% CDI por BTG Pactual,FGC,CDB,9.98% a.a.,17/04/2023,BTG Pactual,BTG Pactual
135,5.241,103.00,Pine 103% CDI por Pine Online,FGC,CDB,9.98% a.a.,17/04/2023,Pine Online,Pine
136,5.241,103.00,BMG 103% CDI por Ágora Investimentos,FGC,CDB,9.98% a.a.,17/04/2023,Ágora Investimentos,BMG
137,5.241,103.00,Daycoval 103% CDI por Daycoval,FGC,CDB,9.98% a.a.,17/04/2023,Daycoval,Daycoval
138,5.241,103.00,BMG 103% CDI por BTG Pactual,FGC,CDB,9.98% a.a.,17/04/2023,BTG Pactual,BMG
139,5.241,102.00,Luso Brasileiro 102% CDI por Guide Investimentos,FGC,CDB,9.89% a.a.,18/04/2023,Guide Investimentos,Luso Brasileiro
140,5.241,102.75,BTG Pactual 102.75% CDI por BTG Pactual,FGC,CDB,9.96% a.a.,17/04/2023,BTG Pactual,BTG Pactual
141,5.240,102.50,BTG Pactual 102.5% CDI por BTG Pactual,FGC,CDB,9.93% a.a.,17/04/2023,BTG Pactual,BTG Pactual
142,5.240,102.50,BTG Pactual 102.5% CDI por BTG Pactual,FGC,CDB,9.93% a.a.,17/04/2023,BTG Pactual,BTG Pactual
143,5.240,102.50,BTG Pactual 102.5% CDI por BTG Pactual,FGC,CDB,9.93% a.a.,17/04/2023,BTG Pactual,BTG Pactual
144,5.240,102.50,BTG Pactual 102.5% CDI por Ágora Investimentos,FGC,CDB,9.93% a.a.,17/04/2023,Ágora Investimentos,BTG Pactual
145,5.240,102.50,Alfa 102.5% CDI por BTG Pactual,FGC,CDB,9.93% a.a.,17/04/2023,BTG Pactual,Alfa
146,5.240,101.50,Alfa 101.5% CDI por Guide Investimentos,FGC,CDB,9.84% a.a.,18/04/2023,Guide Investimentos,Alfa
147,5.240,102.25,BTG Pactual 102.25% CDI por BTG Pactual,FGC,CDB,9.91% a.a.,17/04/2023,BTG Pactual,BTG Pactual
148,5.239,103.00,Mercado Livre 103% CDI por XP Investimentos,FGC,CDB,9.98% a.a.,16/04/2023,XP Investimentos,Mercado Livre
149,5.239,103.00,BS2 103% CDI por Daycoval,FGC,CDB,9.98% a.a.,16/04/2023,Daycoval,BS2
150,5.239,103.00,Luso Brasileiro 103% CDI por Nova Futura Investimentos,FGC,CDB,9.98% a.a.,16/04/2023,Nova Futura Investimentos,Luso Brasileiro
151,5.239,103.00,Caruana Financeira 103% CDI por Daycoval,FGC,CDB,9.98% a.a.,16/04/2023,Daycoval,Caruana Financeira
152,5.239,102.00,BTG Pactual 102% CDI por BTG Pactual,FGC,CDB,9.89% a.a.,17/04/2023,BTG Pactual,BTG Pactual
153,5.239,102.00,BTG Pactual 102% CDI por BTG Pactual,FGC,CDB,9.89% a.a.,17/04/2023,BTG Pactual,BTG Pactual
154,5.239,102.00,Daycoval 102% CDI por Daycoval,FGC,CDB,9.89% a.a.,17/04/2023,Daycoval,Daycoval
155,5.239,102.00,C6 Bank 102% CDI por BTG Pactual,FGC,CDB,9.89% a.a.,17/04/2023,BTG Pactual,C6 Bank
156,5.239,102.00,Modal 102% CDI por BTG Pactual,FGC,CDB,9.89% a.a.,17/04/2023,BTG Pactual,Modal
157,5.239,102.00,Paraná Banco 102% CDI por BTG Pactual,FGC,CDB,9.89% a.a.,17/04/2023,BTG Pactual,Paraná Banco
